title,url,writer
레드햇 AI 3 출시...프로덕션 AI 워크로드에 분산형 AI 추론 제공,http://boannews.com/media/view.asp?idx=139771&page=2&kind=3,강현주 기자 | 2025년 10월 15일 13:14
"지란지교소프트, 서버리스 웹 뷰어 ‘나모 크로스뷰어’ 출시",http://boannews.com/media/view.asp?idx=139770&page=3&kind=3,조재호 기자 | 2025년 10월 15일 11:40
"개인정보 공유 없이 병원·은행 AI 학습...카이스트, 연합학습 AI 개발",http://boannews.com/media/view.asp?idx=139769&page=3&kind=5,조재호 기자 | 2025년 10월 15일 11:30
"마이크로소프트 센티넬, AI 에이전트 기반 보안 기능 대거 업데이트",http://boannews.com/media/view.asp?idx=139768&page=3&kind=3,강현주 기자 | 2025년 10월 15일 11:21
"캄보디아 인신매매 온라인 사기 집단 회장, 美 법무부에 20조원 규모 비트코인 압수 당해",http://boannews.com/media/view.asp?idx=139767&page=3&kind=1,한세희 기자 | 2025년 10월 15일 11:20
"원주시, K-드론배송 시연회 개최·첨단드론 공공행정분야 확대 MOU 체결",http://boannews.com/media/view.asp?idx=139766&page=3&kind=2,강초희 기자 | 2025년 10월 15일 11:17
"증평군, 보행자 따라 가로등 켜지는 ‘스마트 산책로’로 안전·편의 잡았다",http://boannews.com/media/view.asp?idx=139765&page=3&kind=2,강초희 기자 | 2025년 10월 15일 11:15
"안전보건공단, ‘안전보건 리더 혁신 간담회’에서 공공기관 산재예방 방향 제시",http://boannews.com/media/view.asp?idx=139764&page=3&kind=3,강초희 기자 | 2025년 10월 15일 11:14
"여의시스템-Moxa, 코마린에서 IACS UR 26·27 기반 차세대 선박 네트워크 제시",http://boannews.com/media/view.asp?idx=139763&page=3&kind=3,엄호식 기자 | 2025년 10월 15일 10:51
"SKT, 軍 통신 중계 드론 개발 MOU...국방 역량 강화 지원",http://boannews.com/media/view.asp?idx=139762&page=3&kind=3,조재호 기자 | 2025년 10월 15일 10:44
금융보안원 ‘금융권 통합보안관제’ 고도화 추진,http://boannews.com/media/view.asp?idx=139760&page=3&kind=2,조재호 기자 | 2025년 10월 15일 10:31
"안랩, 말레이시아·인도네시아 진출 가속화...전시회 적극 참가",http://boannews.com/media/view.asp?idx=139761&page=3&kind=3,강현주 기자 | 2025년 10월 15일 10:20
"이엔셀, 호주에 특허 등록...샤르코마리투스병 치료 기술",http://boannews.com/media/view.asp?idx=139759&page=3&kind=1,IP전략연구소 | 2025년 10월 15일 09:46
[카드뉴스] 문자 링크 미리보기만 해도 감염? 스팸 문자 차단으로 스마트폰 보안 강화하기,http://boannews.com/media/view.asp?idx=139758&page=3&kind=1,지진솔 기자 | 2025년 10월 15일 09:42
"티피링크, Wi-Fi 8 연결 성공하며 차세대 와이파이 시대 개막 예고",http://boannews.com/media/view.asp?idx=139756&page=3&kind=3,강초희 기자 | 2025년 10월 15일 09:36
"중소·중견 기업, SK 특허 77건 무료 사용..기술나눔 일환",http://boannews.com/media/view.asp?idx=139757&page=3&kind=1,IP전략연구소 | 2025년 10월 15일 09:29
서버 보안의 새로운 패러다임 제시... IAM을 넘어 ‘커널’까지 통제,http://boannews.com/media/view.asp?idx=139755&page=3&kind=3,원병철 기자 | 2025년 10월 15일 09:14
"왓콘, AI·블록체인 기반 비자 문서작성 서비스 ‘패스플래너’로 GITEX 2025 참가",http://boannews.com/media/view.asp?idx=139754&page=3&kind=3,조재호 기자 | 2025년 10월 14일 19:15
"국회 정무위, 롯데카드·KT ‘해킹’ 대처 질타",http://boannews.com/media/view.asp?idx=139751&page=3&kind=2,조재호 기자 | 2025년 10월 14일 18:19
[IP부고] 조창래 씨(지식재산처 사무관) 모친상,http://boannews.com/media/view.asp?idx=139753&page=3&kind=1,IP전략연구소 | 2025년 10월 14일 18:17
"씨프로, 딥러닝 학습 방식 기반의 엣지 기반 AI 코너 돔 IP 카메라",http://boannews.com/media/view.asp?idx=139752&page=3&kind=3,엄호식 기자 | 2025년 10월 14일 18:14
[AI와 보안] 잇따른 해킹 사고 후...최고 관심 솔루션은 ‘AI 보안 자동화’,http://boannews.com/media/view.asp?idx=139750&page=4&kind=1,강현주 기자 | 2025년 10월 14일 18:04
